Date,User,Tweet
2017-03-31 11:00:43+00:00,mantralayatimes,"Govt has no proposal for waiving farm loans post #demonetization.

— All India Radio News (airnewsalerts) March 31, 2017"
2017-03-31 10:57:11+00:00,airnewsalerts,Govt has no proposal for waiving farm loans post #demonetization.
2017-03-31 09:19:11+00:00,arun_thukral,Poll result 2:  #Demonetization has had the biggest impact on the markets in the last 6 months.
2017-03-31 08:02:58+00:00,skyunleased,"Thanx @reliancejio 4 d 6months of free #masti  &amp; #fun. Making ours life #happy despite of #demonetization.
Truly loved d time wd #jio"
2017-03-31 07:21:57+00:00,Shikhar_Gaur,After #Demonetization #SC  #BSIII Verdict has got India standing in ques outside dealerships..beating heat and March ending  pressure.
2017-03-31 06:15:36+00:00,News18MP,"#Chhattisgarh
Maoists planted banner-posters in Bandee area of Kanker against #demonetization"
2017-03-31 05:37:09+00:00,NHAcharya,GentleReminder: Today is the last day to deposit your old notes. #Demonetization
2017-03-31 04:07:40+00:00,imohammad_lucky,"Jio Users !!Then #DeMonetizationNow  #DeJiotization"
2017-03-31 04:01:06+00:00,Tunebharath,"Then #DeMonetization
Now DeJiotization"
2017-03-31 02:16:33+00:00,TheMontgomery,"Dipshits attributing earnings gap to ""womens' poor choices"" upset YouTube will no longer pay for professional misogyny. #Demonetization"
2017-03-30 17:58:14+00:00,ByrnesConsultin,"Speaking about #exponentialtechnologies: 
""#Technology wants everything to be free. It’s called #demonetization.""
- @ricedelman #RicEdelman"
2017-03-30 17:26:30+00:00,SpencerKarter,I hope #YouTubers #Protest #Demonetization thing outside #YouTube HQ's and sees #SusanWojcicki I hope the CEO gets booed! #EndCensorship
2017-03-30 15:46:37+00:00,HeeraKirtan,Very touching story on NDTV इंडिया primetime... #NoteBan #Demonetization
2017-03-30 14:57:07+00:00,SpencerKarter,"#ThingsToNeverForget 
1.)My family's birthdays
2.)My birthday
3.)The day #YouTubers got screwed over #Demonetization aka #AdSenseGate!"
2017-03-30 14:53:21+00:00,SpencerKarter,#BigSpence ISN'T BACKING DOWN! Already #FightingTheSystem challenging #YouTube's #Demonetization Bull****! #MakeYouTubeGreatAgain!
2017-03-30 06:47:19+00:00,tejaskhoday,"Expectation of #demonetization - cashless.

Reality of #demonetisation - More cash"
2017-03-30 05:25:31+00:00,garimaaa20,"This Govt is all about Bold reforms, rapid transformation, good governance.
#SurgicalStrike #Demonetization #GST
#Performance"
2017-03-30 04:48:19+00:00,ChandniBose,New project pricing in Kandivali suggest drop in real estate prices - #demonetization hit?
